ejercicio;inciso;principal;parcial;descripcion
2014;4;43;437;Equipo de oficina y moblaje
2014;4;43;438;Herramientas y repuestos mayores
2014;4;43;439;Equipos varios
2014;4;43;432;Equipo de transporte, tracción y elevación
2014;4;43;433;Equipo sanitario y de laboratorio
2014;4;43;431;Maquinaria y equipo de producción
2014;4;43;;Maquinaria y equipo
2014;4;44;441;Equipo de seguridad
2014;4;44;;Equipo de seguridad
2014;4;45;451;Libros, revistas y otros elementos de colección
2014;4;45;452;Obras de arte
2014;4;45;;Obras de arte, libros y elementos coleccionables
2014;4;48;481;Programas de computación
2014;4;48;489;Otros activos intangibles
2014;4;48;;Activos intangibles
2014;4;49;491;Otros bienes de uso no especificados precedentemente
2014;4;49;;Otros bienes de uso e inversiones
2014;4;42;421;Construcciones en bienes de dominio privado
2014;4;42;422;Construcciones en bienes de dominio público
2014;4;42;424;Obras de mejora y ampliación
2014;4;42;423;Relleno sanitario
2014;4;42;;Construcciones
2014;4;41;412;Edificios e instalaciones para el dominio privado de la CABA
2014;4;41;;Bienes preexistentes
2014;4;;;Bienes de uso
2014;5;51;519;Transferencias a empresas privadas
2014;5;51;516;Transferencias para actividades científicas o académicas
2014;5;51;517;Transferencias a otras instituciones sin fines de lucro
2014;5;51;513;Becas y otros subsidios
2014;5;51;514;Ayudas sociales a personas
2014;5;51;512;Subsidios, transferencias y apoyos
2014;5;51;518;Transferencias a cooperativas
2014;5;51;515;Transferencias a instituciones de enseñanza
2014;5;51;;Transferencias al sector privado para financiar gastos corrientes
2014;5;56;561;Transferencias a universidades  para financiar gastos corrientes
2014;5;56;;Transferencias a Universidades
2014;5;57;579;Transferencias a otras instituciones públicas municipales
2014;5;57;574;Transferencias a entes tripartitos
2014;5;57;573;Transferencias a empresas públicas no financieras provinciales
2014;5;57;575;Transferencias a otras instituciones públicas provinciales
2014;5;57;578;Transferencias a empresas públicas no financieras municipales
2014;5;57;;Transf a instituciones provinciales y municipales para financiar gastos corrientes
2014;5;59;597;Transf.a organismos internacionales para financiar gastos de capital
2014;5;59;592;Transf.a organismos internacionales para financiar gastos corrientes
2014;5;59;596;Transf.a gobiernos extranjeros para financiar gastos de capital
2014;5;59;;Transferencias al exterior
2014;5;53;531;A la administración central nacional
2014;5;53;534;A otras instituciones públicas nacionales
2014;5;53;;Transf.al Sector Público Nacional para financiar gtos corrientes
2014;5;55;552;Transf.a empresas pcas no financieras para financiar gtos corrientes
2014;5;55;554;Transferencias Fondos Fiduciarios para financiar gs cte
2014;5;55;557;Transf.a empresas pcas no financieras para financiar gtos de capital
2014;5;55;559;Transferencias Fondos Fiduciarios para financiar gs de capital
2014;5;55;551;Transf.a instituciones pcas financieras para financiar gtos corrientes
2014;5;55;;Transferencias al Sector Público empresarial
2014;5;58;584;Transferencias a entes tripartitos
2014;5;58;585;Transferencias a otras instituciones públicas provinciales
2014;5;58;;Transf.a instituciones provinciales y municipales para financiar gastos de capital
2014;5;52;524;Transferencias a otras instituciones sin fines de lucro
2014;5;52;523;Transferencias para actividades científicas o académicas
2014;5;52;521;Transferencias a personas
2014;5;52;;Transferencias al sector privado para financiar gastos de capital
2014;5;;;Transferencias
2014;6;62;621;Préstamos a corto plazo al sector privado
2014;6;62;;Préstamos a corto plazo
2014;6;69;699;Fondos Fiduciarios
2014;6;69;692;Adelantos a proveedores y contratistas a corto plazo
2014;6;69;697;Adelantos a proveedores y contratistas a largo plazo
2014;6;69;693;Adelantos a Empr. y Soc. del Estado a CP para Cumpl. Mandas
2014;6;69;695;Adelantos a Empresas y Sociedades del Estado a cuenta de futuros aportes de capital
2014;6;69;;Incremento de activos diferidos y adelantos a proveedores y contratistas
2014;6;63;631;Préstamos a largo plazo al sector privado
2014;6;63;;Préstamos a largo plazo
2014;6;;;Activos financieros
2014;9;91;912; Contribución a organismos descentralizados
2014;9;91;911;Contribución a la administración central
2014;9;91;;Gastos figurativos de la administración gubernamental para transacciones corrientes
2014;9;92;922; Contribución a organismos descentralizados
2014;9;92;;Gastos figurativos de la administración gubernamental para transacciones de capital
2014;9;;;Gastos figurativos
2014;7;71;716;intereses de la deuda interna a largo plazo
2014;7;71;717;Amortización de la deuda interna a largo plazo
2014;7;71;;Servicio de la deuda interna
2014;7;72;726;Intereses de la deuda externa a largo plazo
2014;7;72;728;Comisiones y otros gastos de la deuda externa a largo plazo
2014;7;72;727;Amortización de la deuda externa a largo plazo
2014;7;72;;Servicio de la deuda externa
2014;7;73;731;Intereses por préstamos del sector privado
2014;7;73;732;Intereses por préstamos del sector público nacional
2014;7;73;;Intereses por préstamos y otras deudas
2014;7;76;761;Disminución de cuentas a pagar comerciales a corto plazo
2014;7;76;762;Disminución de otras cuentas a pagar a corto plazo
2014;7;76;764;Disminución de otros documentos a pagar a corto plazo
2014;7;76;767;Disminución de otras cuentas a pagar a largo plazo
2014;7;76;;Disminución de cuentas y documentos a pagar
2014;7;;;Servicio de la deuda y disminución de otros pasivos
