ejercicio;programa;subprograma;proyecto;descripcion
2016;081;08123;;HOSPITAL DE ENFERMEDADES INFECTOCANTAGIOSAS FRANCISCO J. MUÑIZ
2016;081;08125;0812500;HOSPITAL GENERAL DE AGUDOS  JOSE MARIA PENNA
2016;081;08125;0812565;PUESTA EN VALOR HOSPITAL J. M. PENNA
2016;081;08125;;HOSPITAL GENERAL DE AGUDOS  JOSE MARIA PENNA
2016;081;08129;0812900;HOSPITAL DE ODONTOLOGIA INFANTIL QUINQUELA MARTIN
2016;081;08129;0812965;PUESTA EN VALOR QUINQUELA MARTIN
2016;081;08129;;HOSPITAL DE ODONTOLOGIA INFANTIL QUINQUELA MARTIN
2016;081;08130;0813000;HOSPITAL GENERAL DE AGUDOS  JOSE M. RAMOS MEJIA
2016;081;08130;0813065;PUESTA EN VALOR HOSPITAL JOSR M. RAMOS MEJIA
2016;081;08130;;HOSPITAL GENERAL DE AGUDOS  JOSE M. RAMOS MEJIA
2016;081;08133;0813300;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA
2016;081;08133;0813365;PUESTA EN VALOR HOSPITAL OFTALMOLOGICO SANTA LUCIA
2016;081;08133;;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA
2016;081;08135;0813500;HOSPITAL MATERNO INFANTIL RAMON SARDA
2016;081;08135;0813565;PUESTA EN VALOR HOSPITAL RAMON SARDA
2016;081;08135;;HOSPITAL MATERNO INFANTIL RAMON SARDA
2016;081;08139;0813900;HOSPITAL DE GASTROENTEROLOGIA BONORINO UDAONDO
2016;081;08139;0813965;PUESTA EN VALOR  HOSPITAL BONORINO UDAONDO
2016;081;08139;;HOSPITAL DE GASTROENTEROLOGIA BONORINO UDAONDO
2016;081;;;COLONIAS DEPORTIVAS Y RECREATIVAS
2016;082;08200;0820000;PROMOCION Y DESARROLLO DEPORTIVO
2016;082;08200;;PROMOCION Y DESARROLLO DEPORTIVO
2016;082;08210;0821000;HOSPITAL GENERAL DE AGUDOS TEODORO ALVAREZ
2016;082;08210;0821065;PUESTA EN VALOR HOSPITAL TEODORO ALVAREZ
2016;082;08210;;HOSPITAL GENERAL DE AGUDOS TEODORO ALVAREZ
2016;082;08226;0822600;HOSPITAL GENERAL DE AGUDOS PARMENIO PIÑERO
2016;082;08226;0822665;PUESTA EN VALOR HOSPITAL PARMENIO PIÑERO
2016;082;08226;;HOSPITAL GENERAL DE AGUDOS PARMENIO PIÑERO
2016;082;08234;0823400;HOSPITAL GENERAL DE AGUDOS DONACION FRANCISCO SANTOJANNI
2016;082;08234;0823465;PUESTA EN VALOR HOSPITAL DONACION FRANCISCO SANTOJANNI
2016;082;08234;;HOSPITAL GENERAL DE AGUDOS DONACION FRANCISCO SANTOJANNI
2016;082;08255;0825500;HOSPITAL CECILIA GRIERSON
2016;082;08255;0825565;PUESTA EN VALOR HOSPITALES
2016;082;08255;;HOSPITAL CECILIA GRIERSON
2016;082;;;PROMOCION Y DESARROLLO DEPORTIVO
2016;083;08300;0830000;EVENTOS DEPORTIVOS Y RECREATIVOS
2016;083;08300;;EVENTOS DEPORTIVOS Y RECREATIVOS
2016;083;08314;0831400;HOSPITAL DE ONCOLOGIA MARIA CURIE
2016;083;08314;0831465;PUESTA EN VALOR HOSPITAL MARIA CURIE
2016;083;08314;;HOSPITAL DE ONCOLOGIA MARIA CURIE
2016;083;08315;0831500;HOSPITAL DE ODONTOLOGIA JOSE DUEÑAS
2016;083;08315;0831565;PUESTA EN VALOR HOSPITAL ODONTOLOGIA JOSE DUEÑAS
2016;083;08315;;HOSPITAL DE ODONTOLOGIA JOSE DUEÑAS
2016;083;08316;0831600;HOSPITAL GENERAL DE AGUDOS CARLOS DURAND
2016;083;08316;0831665;PUESTA EN VALOR HOSPITAL CARLOS G. DURAND
2016;083;08316;;HOSPITAL GENERAL DE AGUDOS CARLOS DURAND
2016;083;08321;0832100;HOSPITAL DE OFTALMOLOGIA PEDRO LAGLEYZE
2016;083;08321;0832165;PUESTA EN VALOR HOSPITAL PEDRO LAGLEYZE
2016;083;08321;;HOSPITAL DE OFTALMOLOGIA PEDRO LAGLEYZE
2016;083;08328;0832800;HOSPITAL DE QUEMADOS ARTURO U. ILLIA
2016;083;08328;0832865;PUESTA EN VALOR HOSPITAL DE QUEMADOS
2016;083;08328;;HOSPITAL DE QUEMADOS ARTURO U. ILLIA
2016;083;08332;0833200;HOSPITAL DE REHABILITACION MANUEL ROCCA
2016;083;08332;0833265;PUESTA EN VALOR HOSPITAL MANUEL ROCCA
2016;083;08332;;HOSPITAL DE REHABILITACION MANUEL ROCCA
2016;083;08338;0833800;HOSPITAL GENERAL DE AGUDOS ENRIQUE TORNU
2016;083;08338;0833865;PUESTA EN VALOR HOSPITAL ENRIQUE TORNU
2016;083;08338;;HOSPITAL GENERAL DE AGUDOS ENRIQUE TORNU
2016;083;08340;0834000;HOSPITAL GENERAL DE AGUDOS DALMACIO VELEZ SARSFIELD
2016;083;08340;0834065;PUESTA EN VALOR HOSPITAL DALMACIO VELEZ SARSFIELD
2016;083;08340;;HOSPITAL GENERAL DE AGUDOS DALMACIO VELEZ SARSFIELD
2016;083;08341;0834100;HOSPITAL GENERAL DE AGUDOS ABEL ZUBIZARRETA
2016;083;08341;0834165;PUESTA EN VALOR HOSPITAL ABEL ZUBIZARRETA
2016;083;08341;;HOSPITAL GENERAL DE AGUDOS ABEL ZUBIZARRETA
2016;083;;;EVENTOS DEPORTIVOS Y RECREATIVOS
2016;084;08400;0840000;PLAN DEPORTIVO RECREATIVO
2016;084;08400;0840001;ESTUDIOS DE URBANISMO Y ARQUITECTURA
2016;084;08400;;PLAN DEPORTIVO RECREATIVO
2016;084;08418;0841800;HOSPITAL GENERAL DE AGUDOS JUAN A. FERNANDEZ
2016;084;08418;0841865;PUESTA EN VALOR HOSPITAL JUAN A. FERNANDEZ
2016;084;08418;;HOSPITAL GENERAL DE AGUDOS JUAN A. FERNANDEZ
2016;084;08420;0842000;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ
2016;084;08420;0842065;PUESTA EN VALOR HOSPITAL RICARDO GUTIERREZ
2016;084;08420;;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ
2016;084;08424;0842400;HOSPITAL DE ODONTOLOGIA RAMON CARRILLO
2016;084;08424;0842465;PUESTA EN VALOR ATENCION ODONTOLOGICA EN HOSPITALES ESPECIALIZADOS
2016;084;08424;;HOSPITAL DE ODONTOLOGIA RAMON CARRILLO
2016;084;08427;0842700;HOSPITAL GENERAL DE AGUDOS IGNACIO PIROVANO
2016;084;08427;0842765;PUESTA EN VALOR HOSPITAL IGANACIO PIROVANO
2016;084;08427;;HOSPITAL GENERAL DE AGUDOS IGNACIO PIROVANO
2016;084;08431;0843100;HOSPITAL GENERAL DE AGUDOS BERNARDINO RIVADAVIA
2016;084;08431;0843165;PUESTA EN VALOR HOSPITAL BERNARDINO RIVADAVIA
2016;084;08431;;HOSPITAL GENERAL DE AGUDOS BERNARDINO RIVADAVIA
2016;084;08446;0844600;NSTITUTO DE REHABILITACION PSICOFISICA
2016;084;08446;0844665;PUESTA EN VALOR  INSTITUTO DE REHABILITACION PSICOFISICA
2016;084;08446;;NSTITUTO DE REHABILITACION PSICOFISICA
2016;084;;;PLAN DEPORTIVO RECREATIVO
2016;046;04600;0460000;CONVIVENCIA EN LA DIVERSIDAD
2016;046;04600;0460002;EVALUACION PARA LA MEJORA
2016;046;04600;;CONVIVENCIA EN LA DIVERSIDAD
2016;046;;;CONVIVENCIA EN LA DIVERSIDAD
2016;047;04700;0470000;COLECTIVIDADES
2016;047;04700;;COLECTIVIDADES
2016;047;;;COLECTIVIDADES
2016;048;04800;0480000;CONSEJO ASESOR EN POLITICAS PUBLICAS DE MEMORIA
2016;048;04800;;CONSEJO ASESOR EN POLITICAS PUBLICAS DE MEMORIA
2016;048;;;CONSEJO ASESOR EN POLITICAS PUBLICAS DE MEMORIA
2016;033;03300;0330000;DESARROLLO GASTRONOMICO
2016;033;03300;;DESARROLLO GASTRONOMICO
2016;033;;;DESARROLLO GASTRONOMICO
2016;034;03400;0340000;PROMOCION DE POLITICAS DE BIENESTAR SOCIAL
2016;034;03400;0340001;INSTITUTO ENSEÑANZA ARTISTICA
2016;034;03400;0340079;MEJORAMIENTO DE LAS VIAS DE TRANSITO PEATONAL Y VEHICULAR POR ADMINISTRACION
2016;034;03400;;PROMOCION DE POLITICAS DE BIENESTAR SOCIAL
2016;034;;;PROMOCION DE POLITICAS DE BIENESTAR SOCIAL
2016;085;08500;0850000;DEPORTE SOCIAL Y DESARROLLO DEPORTIVO
2016;085;08500;0850001;PROYECTOS DE INGENIERIA HIDRAULICA
2016;085;08500;0850002;PROYECTOS DE INGENIERIA VIAL
2016;085;08500;0850003;PROYECTOS DE OBRAS PARA INFRSESTRUCTURA DE SERVICIOS
2016;085;08500;0850004;OBRAS DE REGENERACION URBANA
2016;085;08500;0850060;A.CU.MA.R. OBRAS DE REGENERACION URBANA.
2016;085;08500;0850051;SISTEMA TRIBUTARIO DE LA CIUDAD
2016;085;08500;;DEPORTE SOCIAL Y DESARROLLO DEPORTIVO
2016;085;08511;0851100;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR
2016;085;08511;0851165;PUESTA EN VALOR HOSPITAL TORCUARTO DE ALVEAR
2016;085;08511;;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR
2016;085;08513;0851300;HOSPITAL DE SALUD MENTAL JOSE T. BORDA
2016;085;08513;0851365;PUESTA EN VALOR ATENCION DE SALUD MENTAL
2016;085;08513;;HOSPITAL DE SALUD MENTAL JOSE T. BORDA
2016;085;08522;0852200;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO
2016;085;08522;0852265;PUESTA EN VALOR ATENCION DE SALUD MENTAL
2016;085;08522;;HOSPITAL DE SALUD MENTAL BRAULIO MOYANO
2016;085;08536;0853600;TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA
2016;085;08536;;TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA
2016;085;08537;0853700;HOSPITAL INFANTOJUVENIL CAROLINA TOBAR GARCIA
2016;085;08537;0853765;PUESTA EN VALOR HOSPITAL TOBAR GARCIA
2016;085;08537;;HOSPITAL INFANTOJUVENIL CAROLINA TOBAR GARCIA
2016;085;08543;0854300;CENTRO DE SALUD MENTAL AMEGHINO
2016;085;08543;0854365;PUESTA EN VALOR CENTRO DE SALUD MENTAL AMEGHINO
2016;085;08543;;CENTRO DE SALUD MENTAL AMEGHINO
2016;085;08550;0855000;CENTRO DE SALUD MENTAL Nº 1 HUGO ROSARIO
2016;085;08550;;CENTRO DE SALUD MENTAL Nº 1 HUGO ROSARIO
2016;085;;;DEPORTE SOCIAL Y DESARROLLO DEPORTIVO
2016;086;08600;0860000;INFRAESTRUCTURA DEPORTIVA
2016;086;08600;;INFRAESTRUCTURA DEPORTIVA
2016;086;;;INFRAESTRUCTURA DEPORTIVA
2016;087;08700;0870000;ADMINISTRACION Y ORGANIZACION DEPORTIVA
2016;087;08700;;ADMINISTRACION Y ORGANIZACION DEPORTIVA
2016;087;;;ADMINISTRACION Y ORGANIZACION DEPORTIVA
2016;035;03500;0350000;DESARROLLO FAMILIAR
2016;035;03500;0350071;CUIDADO Y PRESERVACION DEL ARBOLADO URBANO
2016;035;03500;0350072;VALORIZACION DE LOS ESPACIOS VERDES
2016;035;03500;;DESARROLLO FAMILIAR
2016;035;;;DESARROLLO FAMILIAR
2016;021;02100;0210000;RELACIONES CON LOS CULTOS
2016;021;02100;0210061;MANTENIMIENTO PASEO DE LAS FLORES
2016;021;02100;0210062;MANTENIMIENTO DEL PUENTE ALSINA
2016;021;02100;0210063;MANTENIMIENTO CIUDAD UNIVERSITARIA
2016;021;02100;0210064;CENTRO TRANSBORDO ONCE
2016;021;02100;0210069;ORDENAMIENTO DE ESPACIOS PUBLICOS
2016;021;02100;0210097;MANTENIMIENTO INTEGRAL MICROCENTRO
2016;021;02100;0210098;SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO, CORRECTIVO,CRITICO Y POR DEMANDA, DESTINAD
2016;021;02100;0210099;MANTENIMIENTO INTEGRAL METROBUS
2016;021;02100;;RELACIONES CON LOS CULTOS
2016;021;;;RELACIONES CON LOS CULTOS
2016;056;05600;0560000;GESTION DEL CUMPLIMIENTO
2016;056;05600;0560003;DESARROLLO E IMPLEMENTACION DE SISTEMAS
2016;056;05600;;GESTION DEL CUMPLIMIENTO
2016;056;05621;0562100;HOSP.PEDRO DE LAGLEYZE
2016;056;05621;0562165;PUESTA EN VALOR HOSPITAL PEDRO LAGLEYZE
2016;056;05621;;HOSP.PEDRO DE LAGLEYZE
2016;056;05633;0563300;HOSP.SANTA LUCIA
2016;056;05633;0563365;PUESTA EN VALOR HOSPITAL OFTALMOLOGICO SANTA LUCIA
2016;056;05633;;HOSP.SANTA LUCIA
2016;056;;;GESTION DEL CUMPLIMIENTO
2016;053;05300;0530000;GESTION ESTRATEGICA
2016;053;05300;0530001;REMODELACION DEL EDIFICIO DE DEFENSA CIVIL
2016;053;05300;0530010;OBRAS NUEVAS, AMPLIACIONES, RELOCALIZACIONES Y COMPRAS
2016;053;05300;0530011;OBRAS CIVILES DE ALBAÑILERIA, FACHADAS, CUBIERTAS, PINTURA, ACCESIBILIDAD O INTEGRALES 2
2016;053;05300;0530012;ADECUACION DE INSTALACIONES ESCOLARES
2016;053;05300;0530013;ADECUACION DE INSTALACIONES ESCOLARES 2
2016;053;05300;0530014;ADECUACION DE INSTALACIONES ESCOLARES 3
2016;053;05300;0530015;ADECUACION DE INSTALACIONES ESCOLARES 4
2016;053;05300;0530016;OTRAS OBRAS E INSTALACIONES
2016;053;05300;0530017;OBRAS CIVILES DE ALBAÑILERIA, FACHADAS, CUBIERTAS, PINTURA, ACCESIBILIDAD O INTEGRALES
2016;053;05300;0530018;OTRAS OBRAS E INSTALACIONES 2
2016;053;05300;0530019;OBRAS CIVILES DE ALBAÑILERIA, FACHADAS, CUBIERTAS, PINTURA, ACCESIBILIDAD O INTEGRALES III
2016;053;05300;0530020;OBRAS NUEVAS, AMPLIACION, RELOCALIZACIONES Y COMPRAS
2016;053;05300;0530060;A.CU.MAR -  OBRAS E INSTALACIONES
2016;053;05300;;GESTION ESTRATEGICA
2016;053;;;GESTION ESTRATEGICA
2016;054;05400;0540000;RELACIONES INSTITUCIONALES
2016;054;05400;0540004;MITIGACION DE RIESGOS Y LEY DE ESCUELAS SEGURAS
2016;054;05400;;RELACIONES INSTITUCIONALES
